news_headline,news_article,news_category
Ex-Pak batsman Raja once got out obstructing field running for 100th run,"Pakistan's Ramiz Raja became the first batsman in ODIs to get out obstructing the field against England on November 20, 1987. Raja was batting on 98 before playing the match's last ball. While trying to take a second run to get to his century, Raja used his bat to prevent the ball from hitting the wickets and was signalled out.",sports
"Sachin reached 30,000 international runs during his 88th century","Sachin Tendulkar became the first and the only batsman till date to reach the 30,000-run mark in international cricket on November 20, 2009. Tendulkar achieved the feat on the way to his international career's 88th hundred in a Test against Sri Lanka at Ahmedabad. Sachin ended his career with 34,357 international runs and 100 international hundreds.",sports
"People say can I do it with other teams, what's the need: Rohit on success with MI","Responding to critics over his success with Mumbai Indians, captain Rohit Sharma said, ""I hear lot of people say that can I do it with other teams? Why shall I need to do it with other teams?"" He added, ""Did this team become good overnight? No. It’s just that this franchise doesn’t believe in chopping and changing.""",sports
"Maxwell responds to Sehwag's ₹10-cr cheerleader remark, says 'He's in media for it'","Reacting to Virender Sehwag calling him a '₹10-crore cheerleader' for his performance in IPL 2020, KXIP and Australia all-rounder Glenn Maxwell said, ""Viru is pretty outspoken with his dislike of me, and that's fine."" Maxwell added, ""He is allowed to say whatever he likes. He is in the media for such statements. I deal with that and move on."" ",sports
I am absolutely alive and fine: Pak superfan Chacha Cricket on rumours of his death,"Pakistan cricket team superfan Chacha Cricket aka Sufi Abdul Jalil shared a video on Twitter to rubbish rumours of his death on social media. ""Whoever posted my picture on Facebook and spread this fake news [of my death], may Allah give him Hidayat (guidance) as well,"" he said in the video.",sports
I couldn't train the day I wasn't picked for Australia tour: Suryakumar Yadav,"Mumbai Indians batsman Suryakumar Yadav has revealed that he couldn't train the day he wasn't picked for Team India's tour of Australia. ""I was expecting to be selected this time. I was a bit disappointed when I found my name missing,"" he said. ""It was difficult to take my mind off from that dejection,"" he further said.",sports
"Wasn't a concern what X, Y or Z was talking about: Rohit on controversy over injury","Talking about controversy over his hamstring injury, MI captain Rohit Sharma said, ""It wasn't a concern what X, Y or Z was talking about like whether I'd make it to Australia."" He added, ""I was constantly communicating with BCCI and MI."" He stated, ""There is still some work...that needs to be done...That's why I didn't go to Australia for...white-ball leg.""",sports
Cycle mechanic thought I was my sister's servant due to my looks at 14: Kapil Dev,"Kapil Dev, in an episode of #NoFilterNeha, revealed that once a cycle mechanic mistook him as his sister's servant due to his looks when he was 14. Kapil said he had gone to the mechanic with his sister after her cycle got punctured. ""The mechanic said to my sister, 'You can go. Leave your servant here',"" Kapil added.",sports
"Brad Hogg says Rohit's place in Test team uncertain, Jaffer trolls him","Ex-Australia spinner Brad Hogg, while responding to a fan on Twitter, said that Rohit Sharma's record in Test cricket while touring provides no certainty of him holding a spot in the team. Kings XI Punjab batting coach Wasim Jaffer trolled Hogg for his statement sharing a 'Hera Pheri' meme that read, ""Aaja...Aaja beta aaja.""",sports
I could see boredom on Kohli's face during IPL: Akhtar on split captaincy talks,"Ex-Pakistan pacer Shoaib Akhtar has said if Virat Kohli is feeling fatigued, he should think about giving captaincy to Rohit Sharma in one of the formats. ""I could see the boredom on his face during the IPL, maybe it was because of the bio-bubble situation,"" Akhtar added. He further said, ""Rohit has been ready for captaincy for a while.""",sports
Babar Azam looks like a million dollar player: Ravichandran Ashwin,"Team India off-spinner Ravichandran Ashwin has said that Pakistan captain Babar Azam looks like a million dollar player. ""He has scored a hundred in Australia. It is so good to see him bat so well. He is a treat for the eyes,"" Ashwin added while interacting with ex-Pakistan captain Inzamam-ul-Haq. Inzamam said, ""Babar is simply a great player.""",sports
I didn’t even know I had contracted coronavirus: Mark Boucher,"South Africa head coach Mark Boucher has revealed that he had been a victim of coronavirus without knowing he had contracted the disease. ""I felt a little down for one or two days. I had been throwing down to some players in the nets and felt some aches and pains. COVID-19 is bigger than sport,"" he added.",sports
"Chahal shares video of himself batting in nets in Australia, gets trolled","Team India leg-spinner Yuzvendra Chahal took to Instagram to share a video of himself batting in the nets in Australia, writing, ""Adding up scores this time."" Several cricketers, including Rashid Khan and Dale Steyn, trolled Chahal. Rashid wrote, ""Nice but brother, we are better off as bowlers."" Steyn commented, ""Facing fast off spin?""",sports
Gayle should be in playing XI from game one in IPL 2021: KXIP co-owner Wadia,"Kings XI Punjab co-owner Ness Wadia has said that Chris Gayle should feature in playing XI from game one in the next IPL. ""Gayle demonstrated [in IPL 2020] that he should play every game next season,"" Wadia added. Gayle featured in seven of KXIP's 14 matches in IPL 2020 and scored 288 runs.",sports
"Players aged below 15 cannot play international cricket, announces ICC","The ICC has introduced minimum age restrictions for international cricket to improve safeguarding of players which will apply across all cricket including ICC events, bilateral cricket and Under-19 cricket. To play in any form of men's, women's or Under-19 international cricket, players must have a minimum age of 15. Member boards could apply to ICC in exceptional cases.",sports
"AB de Villiers becomes father for the third time, shares pic of newborn daughter","Former South Africa captain AB de Villiers took to Instagram to reveal that he and his wife Danielle have become parents for the third time. Sharing a picture, De Villiers wrote, ""On 11-11-2020, we welcomed a beautiful baby girl into the world...Yente de Villiers, you are the perfect addition to our family."" The duo have two sons together.",sports
We have to respect Kohli's decision: Laxman on paternity leave,"Talking about Team India captain Virat Kohli's decision to take paternity leave, ex-India batsman VVS Laxman said, ""You are a professional cricketer but you are also a family man, and you also respect what is good for your family."" He added, ""We have to respect [Kohli's] decision. It is a very important phase of [his] life.""",sports
"If Kohli has his baby here, we can claim his offspring as Australian, jokes Border","Talking about Virat Kohli taking paternity leave for the birth of their first child, ex-Australia captain Allan Border joked, ""We were thinking he might think about having his newborn...here because we can claim his offspring as Australian."" Border added, ""The one thing that is in Australia’s favour is Virat Kohli playing only the first Test.""",sports
Our middle child wants to be Virat Kohli: David Warner's wife Candice,"Australian cricketer David Warner's wife Candice recently revealed that their middle child, four-year-old Indi Rae, is a Virat Kohli fan and likes to play as him whenever their family plays backyard cricket at home. ""She wants to be Kohli. She is the rebel,"" Candice added. Candice stated that David maintains his ""competitive spirit"" even when he’s playing with his daughters.",sports
"ICC alters WTC points system due to pandemic, India dethroned from top spot ","The ICC today announced that the ICC World Test Championship points system has been amended due to the COVID-19 pandemic. The teams will now be ranked in order of percentage of points earned. With the update, Australia went past India to claim the first position on the points table. Australia has earned 82.2% points, while India has earned 75%.",sports
Wasn't our intention: Belgian Mayor on decorating town with penis-shaped lights,"The Mayor of Belgian town of Oudenburg has admitted that it wasn't intentional to decorate the town with penis-shaped lights for Christmas. ""It wasn't our intention to install Christmas lights that remind people of a penis. But we do see the lighter side of the incident,"" the Mayor said. The technical department planned for the lights to look like candles.",world
Twitter to transfer @POTUS account to Biden even if Trump doesn't concede,"Twitter will transfer @POTUS account to Joe Biden on Inauguration Day, even if US President Donald Trump doesn't concede his election loss, the micro-blogging platform confirmed to POLITICO. Other presidential accounts, including @whitehouse, @VP and @FLOTUS will also be transferred, POLITICO reported. The process is being done in consultation with the National Archives and Records Administration.",world
India summons Pak High Commission officials over Nagrota encounter,"India summoned Pakistan High Commission officials including the Charge d'Affaires on Saturday to raise concerns over J&K's Nagrota encounter in which four terrorists were killed. ""It was demanded that Pakistan desists from its policy of supporting terrorists,"" the Centre stated. The terrorists were planning ""something big"" ahead of the DDC elections, the J&K police had earlier said. ",world
"'Thank you Elizabeth, LOVE': Trump falls for parody account of his sister","US President Donald Trump on Friday retweeted an article that falsely claimed that his sister, Elizabeth Trump Grau, had issued a ""rare and bold statement"" in support of him. The story was based on tweets from a parody account, @TheBettyTrump, which was suspended later on Friday. ""Thank you Elizabeth. LOVE!,"" Trump wrote, believing the statement came from his 78-year-old sister.",world
Singapore man to be charged for holding up smiley sign outside police station,"Singapore will charge an activist with staging a one-man protest without permit over an incident in which he held up a sign bearing a smiley face outside a police station. Jolovan Wham had demonstrated his support for a climate activist who said he'd been questioned over a similar protest. Wham faces a fine of up to S$5,000 (over ₹2.76 lakh).",world
"China journo tweets pics of Chinese village allegedly inside Bhutan, deletes claim","Shen Shiwei, a senior journalist with Chinese state media, tweeted photos of a village constructed by China that was allegedly 2 km inside Bhutan's territory but later deleted the claim. However, Bhutan's Ambassador to India Vetsop Namgyel denied the journalist's claim and said, ""There is no Chinese village inside Bhutan."" He said the village is not on the Bhutanese side.",world
"Lord Vishnu's 1,300-yr-old temple discovered in northwest Pakistan","A Hindu temple dedicated to Lord Vishnu, believed to have been constructed 1,300 years ago, has been discovered by Pakistani and Italian archaeological experts at a mountain in northwest Pakistan's Swat district. It was built during the Hindu Shahi period, an official said. During their excavation, the archaeologists also found traces of cantonment and watchtowers near the temple site.",world
"14 rockets land in various parts of Afghanistan's Kabul, 3 people killed","Three people were killed and 11 more were wounded as 14 rockets landed in various parts of Afghanistan's capital Kabul this morning, the country's Interior Ministry has said. Alarms could be heard blaring at embassies and businesses in and around the Green Zone, which houses dozens of international companies and their workers.",world
Big Pharma ran millions of dollars of negative ads against me: Trump,"US President Donald Trump on Friday alleged that ""Big Pharma ran millions of dollars of negative advertisements"" against him during the election campaign. He also accused ""Pfizer and others"" of delaying their potential COVID-19 vaccine to stop his re-election. Trump further said that the country wouldn't have a COVID-19 vaccine for another four years if it wasn't for him. ",world
Recent COVID-19 vaccine breakthroughs offer a ray of hope: UN Chief,"UN Secretary-General Antonio Guterres on Friday said that ""the recent breakthroughs on COVID-19 vaccines offer a ray of hope."" He added that the coronavirus vaccine should be made accessible and affordable to everyone, everywhere in the world. ""This is not a 'do-good' exercise. It is the only way to stop the pandemic dead in its tracks,"" he further said. ",world
Study that says COVID-19 reinfection unlikely for 6 months is good news: WHO,"WHO's emergencies head Dr Mike Ryan has said it is ""really good news to see that we're seeing sustained levels of immune response in humans"". This comes after a British study found that people who have had COVID-19 are unlikely to contract it again for at least six months. ""It also gives us hope on the vaccine side,"" Ryan added.",world
Indian-American Mala Adiga named policy director to Jill Biden ,"US President-elect Joe Biden on Friday named Indian-American Mala Adiga as the policy director of his wife and future First Lady Jill Biden. Earlier, Adiga had served as a senior advisor to Jill Biden and a senior policy advisor on the Biden-Harris campaign. She has also worked at the Biden Foundation as Director for Higher Education and Military Families.",world
Philippines ends overseas travel ban on healthcare workers,"Philippine President Rodrigo Duterte lifted a ban barring Filipino health workers from working abroad, Labour Secretary Silvestre Bello said on Saturday. To ensure the country has enough medical professionals to fight the pandemic, only 5,000 workers will be allowed to leave every year, he added. The ban was imposed in April to fight the COVID-19 crisis at home.",world
Donald Trump Jr tests positive for coronavirus,"US President Donald Trump's eldest son Donald Trump Jr has tested positive for coronavirus, his spokesman said on Friday. The 42-year-old contracted the virus earlier this week and has been ""quarantining out at his cabin since the result"", he added. ""He's been completely asymptomatic so far and is following all medically recommended COVID-19 guidelines,"" the spokesman further said.",world
Pfizer & BioNTech apply for COVID-19 vaccine emergency use in US,"Pfizer and German partner BioNTech have applied for Emergency Use Authorisation (EUA) from the US Food and Drug Administration (FDA) for their COVID-19 vaccine candidate. This is the first COVID-19 vaccine to seek regulatory clearance in the US. During the Phase 3 clinical trial, the vaccine was found to be 95% effective in preventing COVID-19 with no major safety concerns.",world
Canada's hospitals could be overwhelmed: Trudeau as COVID-19 cases rise,"Canadian PM Justin Trudeau on Friday said that the COVID-19 cases in the country are ""spiking massively"" which could overwhelm the hospital system. Trudeau also said that a normal Christmas is out of question. Earlier, Chief Public Health Officer Theresa Tam predicted that daily cases would spike to 60,000 by the end of the year from less than 5,000 now.",world
Meghnad Desai resigns from UK Labour Party after 49 yrs over racism,"Indian-origin economist Lord Meghnad Desai has resigned from the UK's Labour Party after 49 years, citing anti-semitic racism. He resigned after Jeremy Corbyn, who was earlier suspended for saying that anti-Semitism allegations were ""overstated"", was readmitted to the party on Wednesday. ""Jewish MPs were abused openly, and female members were trolled. It is out and out racism,"" Desai said.",world
Yemen in imminent danger of world’s worst famine in decades: UN chief,"UN Secretary-General António Guterres said Yemen is in ""imminent danger of the worst famine the world has seen for decades"". ""In the absence of immediate action, millions of lives may be lost,"" Guterres added. He requested everyone to avoid ""taking actions that could make a dire situation worse"". Guterres' comments come after US threatened to blacklist Yemen's Iran-allied Houthi group.",world
Armenia appoints new defence minister after Nagorno-Karabakh truce,"Armenian President Armen Sarkissian has appointed a new defence minister after the government faced criticism over the Nagorno-Karabakh ceasefire under which Armenia is handing over several territories to Azerbaijan. Vagharshak Harutyunyan replaced Davit Tonoyan, who held the post since May 2018. Earlier, Azerbaijan army entered Aghdam district, an area ceded by Armenia as part of the peace deal.",world
Killing of black man in supermarket sparks violent protests in Brazil,"The killing of a black man by two white security guards at a Carrefour supermarket in Porto Alegre, Brazil, has sparked violent protests across the country. A video showed a guard kneeling on Joao Alberto Silveira Freitas after he was punched repeatedly in the face outside the store. The killing took place on Thursday, the eve of Black Consciousness Day.",world
World's most-followed TikTok star loses 1 mn followers over a video controversy,"America's 16-year-old dancer Charli D'Amelio, the most-followed person on TikTok, lost 1 million followers after she was criticised over a video posted on her family's YouTube channel. In the video, she appeared to be complaining about not hitting 100 million followers and fans accused her sister of being rude to a chef. Charli was called ""entitled"" and ""ungrateful"" in comments.",technology
Twitter to transfer @POTUS account to Biden even if Trump doesn't concede,"Twitter will transfer @POTUS account to Joe Biden on Inauguration Day, even if US President Donald Trump doesn't concede his election loss, the micro-blogging platform confirmed to POLITICO. Other presidential accounts, including @whitehouse, @VP and @FLOTUS will also be transferred, POLITICO reported. The process is being done in consultation with the National Archives and Records Administration.",technology
"Most common passwords of 2020 revealed, 'iloveyou', '123456' on the list","Password manager NordPass published its list of the 200 most common passwords of 2020, detailing how many times a password has been exposed, used, and how much time it would take to crack it. The list is topped by '123456', followed by '123456789', 'picture1', 'password' and '12345678'. Passwords like 'iloveyou', 'qwerty', 'abc123', 'unknown' and 'pokemon' also featured on the list.
",technology
"Iconic 1,000-foot-wide radio telescope in Puerto Rico to be decommissioned","Arecibo Observatory's iconic 1,000-foot-wide radio telescope in Puerto Rico will be decommissioned, 57 years after serving as a resource for radio astronomy, planetary, solar system and geospace research. Engineering assessments found that damage to it cannot be stabilised without risk to construction workers and staff. Arecibo Observatory was the world's largest single radio dish till 2016.",technology
Vatican asks Instagram to explain how Pope's account 'liked' bikini model's photo,"The Vatican has said it is seeking explanations from Instagram after Pope Francis’ official account 'liked' a photo of a 27-year-old bikini model, Natalia Garibotto.  ""We can exclude that the ‘like’ came from the Holy See,"" a Vatican spokesperson told the Guardian. A team of people manages the Pope’s various social media accounts.",technology
Musk a Tesla rally away from dethroning Gates as 2nd richest man: Bloomberg,"Tesla CEO Elon Musk is just one rally of Tesla shares away from dethroning Microsoft Co-founder Bill Gates as the world's second-richest person, Bloomberg reported. Musk's current net worth is $120 billion compared to $128 billion net worth of Bill Gates. Musk became $7.6 billion richer on Tuesday and added another $10 billion to his wealth on Wednesday.",technology
Ola to introduce its first electric scooter in Jan: Report,"Ola Electric will be launching its first electric scooter in January 2021, PTI reported. The electric scooter, initially to be manufactured at a facility in the Netherlands, will be sold in India as well as Europe. Earlier, Ola Electric had acquired Amsterdam-based Etergo for an undisclosed amount. It's also looking at setting up a manufacturing facility in India.",technology
Amazon firing manufacturing staff working on drone project: Report,"Amazon is reportedly laying off dozens of research and development and manufacturing staff working on the delivery drone project called ""Amazon Prime Air"" and turning to external manufacturers. It has reached tentative deals with Spain and Austria's aerospace companies to manufacture component parts for its drones, FT reported. Amazon plans to use electric drones to deliver packages under 2.3 kg.",technology
Japanese firms to start experimenting with digital yen in 2021,"Over 30 Japanese firms will begin experimenting with a common, private digital currency next year in an effort to promote digitalisation, Japan Inc said on Thursday. The group's chairman Hiromi Yamaoka, former executive of the Bank of Japan (BOJ), said, ""We don't want to create another silo-type platform...we want to...create a framework that can make various platforms mutually compatible.""",technology
Vietnam threatens to ban Facebook over censorship requests: Report,"Vietnam has threatened to ban Facebook if it does not comply with government's requests to censor more local political content on its platform, Reuters reported. A Facebook official told Reuters that the government has asked Facebook to ban critical posts, a request which Facebook denied. The government has said Facebook should stop spreading information that ""infringes upon state interests"".",technology
"Apple, others ask for data protection in Google antitrust lawsuit in US","Apple, Amazon and others that have assisted the US government in antitrust lawsuit against Google have asked for some of their data to be designated as ""highly confidential"". The firms have asked a judge to prohibit any Google employee from having access to the data. Amazon had previously said sensitive documents could help Google gain leverage in any future negotiations.",technology
Material made from fruits that creates energy wins sustainability award,"A material created from rotting fruits and vegetables that generates renewable energy by absorbing UV light from the sun has received the first James Dyson's sustainability award. The ""AuREUS"" system uses scientific principles behind the northern lights. The ""Blue Box"", a low-cost biomedical device that can be used to detect breast cancer at home, has been declared the International Winner.",technology
Snapchat-parent Snap acquires music-tech startup Voisey: Reports,"Snapchat-parent Snap has reportedly acquired UK's music-tech startup Voisey. The startup features instrumentals that users can overlay with their voice to create short music tracks and videos. Business Insider had earlier noted that Voisey had changed its address in London to that of Snap's in the US. Voisey's co-founders resigned as directors of the company in October, TechCrunch reported.",technology
Financial impact is immaterial: Epic Games CEO on reduced App Store fee,"Epic Games CEO Tim Sweeney said that the ""financial impact"" of Apple's decision to reduce App Store commission for small businesses to 15% is ""immaterial"" to the company's revenue. Small businesses account for less than 5% of its revenue, he said. Apple hopes to ""maintain the monopoly"" by giving ""special...terms to tech titans like Amazon"" and small developers, Sweeney said.",technology
Facebook sues man who extracted data of 1 lakh Instagram profiles,"Facebook has filed a lawsuit against a Turkish man who scraped data from over 1 lakh Instagram accounts to create a network of clone sites. He published users' data on the sites that allowed people to view users' pictures, videos and stories, among other things, by entering their username. Facebook had earlier sent cease and desist letters to the man.",technology
I&B Ministry to decide if online gambling sites can advertise on TV,The Ministry of Information and Broadcasting has started consulting various stakeholders to decide whether sites that promote online gambling should be allowed to broadcast advertisements on TV channels. The step was taken after a petition was filed in the Delhi High Court seeking to restrict gaming websites that allegedly facilitate online gambling and carry advertisements.,technology
Foreign hackers may have caused Mumbai's hours-long Oct power cut: Report,"The hours-long power cut in Mumbai on October 12 could possibly have been caused by sophisticated sabotage attempt involving foreign entities, according to state's cyber police's investigation, Mumbai Mirror reported. It detected multiple ""suspicious logins"" on the supply and transmission utility servers. Hackers have been trying to attack India's power utilities since February, the report added.",technology
"Facebook, Google, others threaten to leave Pakistan over new rules","Asia Internet Coalition, representative of Google, Facebook and other firms, has warned the firms would leave Pakistan over its new rules. Under the rules, social media firms shall provide investigating authorities with any data in a decrypted, readable and comprehensible format, Dawn reported. Firms will have to remove or block unlawful content within 24 hours of being reported by authorities.",technology
Canada's accusations of China being cybercrime threat groundless: China,"Chinese Foreign Ministry's spokesperson Zhao Lijian said that Canada's accusations of China being a cybercrime threat are ""groundless"". The Communications Security Establishment (CSE) of Canada, in its second national cyber threat assessment, also named Russia, Iran and North Korea as major threats. It said that it feared foreign actors could try to disrupt power supplies.",technology
US firm creates app to translate cat's meow,"A US-based software engineering firm has created an app that records the sounds of cats and attempts to identify its meaning. The MeowTalk app currently has 13 phrases, including ""Feed me"" and ""Leave me alone"". The company eventually aims to develop a smart-collar that would translate the cat's meow to a human voice speaking through the collar.",technology
